,,,,, (단위 : kwh) ,
, 육지공급 , 화력발전 , 풍력 , 태양광 , 기타 , 수요 
20040101," 3,334,800 "," 3,826,500 "," 31,534 ",," 11,110 "," 7,203,944 "
20040102," 3,532,800 "," 4,116,400 "," 101,919 ",," 15,470 "," 7,766,589 "
20040103," 3,532,600 "," 4,180,600 "," 60,549 ",," 16,560 "," 7,790,309 "
20040104," 3,460,600 "," 3,954,100 "," 20,830 ",," 12,025 "," 7,447,555 "
20040105," 3,536,600 "," 4,252,700 ", 798 ,," 14,300 "," 7,804,398 "
20040106," 3,561,800 "," 4,277,700 "," 6,895 ",," 15,920 "," 7,862,315 "
20040107," 3,550,200 "," 4,301,700 "," 84,581 ",," 15,921 "," 7,952,402 "
20040108," 3,559,800 "," 4,385,200 "," 30,895 ",," 13,075 "," 7,988,970 "
20040109," 3,548,000 "," 4,305,400 "," 29,828 ",," 15,664 "," 7,898,892 "
20040110," 3,544,400 "," 4,212,100 "," 94,555 ",," 15,911 "," 7,866,966 "
20040111," 3,466,800 "," 4,014,400 "," 26,417 ",," 13,637 "," 7,521,254 "
20040112," 3,542,400 "," 4,244,900 "," 132,521 ",," 14,736 "," 7,934,557 "
20040113," 3,556,000 "," 4,609,000 "," 85,374 ",," 9,126 "," 8,259,500 "
20040114," 3,556,000 "," 4,529,900 "," 49,471 ",," 13,975 "," 8,149,346 "
20040115," 3,492,200 "," 4,552,900 "," 13,015 ",," 13,547 "," 8,071,662 "
20040116," 3,530,600 "," 4,487,600 "," 98,097 ",," 13,547 "," 8,129,844 "
20040117," 3,501,600 "," 4,452,500 "," 68,309 ",," 14,246 "," 8,036,655 "
20040118," 3,525,000 "," 4,113,300 "," 87,879 ",," 14,688 "," 7,740,867 "
20040119," 3,527,000 "," 4,483,500 "," 151,395 ",," 14,419 "," 8,176,314 "
20040120," 3,342,400 "," 4,611,400 "," 83,575 ",," 13,500 "," 8,050,875 "
20040121," 3,497,400 "," 4,022,200 "," 149,974 ",," 13,499 "," 7,683,073 "
20040122," 3,241,800 "," 3,715,100 "," 128,970 ",," 6,037 "," 7,091,907 "
20040123," 3,367,600 "," 3,889,100 "," 61,037 ",," 6,284 "," 7,324,021 "
20040124," 3,513,200 "," 4,177,500 "," 88,642 ",," 10,290 "," 7,789,632 "
20040125," 3,457,000 "," 4,110,200 "," 138,790 ",," 7,210 "," 7,713,200 "
20040126," 3,548,200 "," 4,535,400 "," 57,642 ",," 13,961 "," 8,155,203 "
20040127," 3,511,400 "," 4,538,000 "," 135,126 ",," 13,825 "," 8,198,351 "
20040128," 3,464,800 "," 4,643,400 "," 64,271 ",," 13,127 "," 8,185,598 "
20040129," 3,503,600 "," 4,593,600 "," 7,216 ",," 13,542 "," 8,117,958 "
20040130," 3,495,800 "," 4,451,400 "," 61,896 ",," 13,544 "," 8,022,640 "
20040131," 3,502,000 "," 4,323,300 "," 7,318 ",," 11,850 "," 7,844,468 "
20040201," 3,332,800 "," 4,049,500 "," 14,738 ",," 7,664 "," 7,404,702 "
20040202," 3,340,600 "," 4,437,500 "," 170,828 ",," 13,519 "," 7,962,447 "
20040203," 3,088,600 "," 4,903,800 "," 168,653 ",," 9,306 "," 8,170,359 "
20040204," 3,301,800 "," 4,744,300 "," 111,923 ",," 12,859 "," 8,170,882 "
20040205," 3,515,200 "," 4,564,800 "," 166,920 ",," 12,326 "," 8,259,246 "
20040206," 3,313,600 "," 4,817,500 "," 156,260 ",," 12,325 "," 8,299,685 "
20040207," 3,519,200 "," 4,463,500 "," 158,080 ",," 12,307 "," 8,153,087 "
20040208," 3,395,000 "," 4,167,200 "," 59,150 ",," 8,941 "," 7,630,291 "
20040209," 3,391,200 "," 4,595,300 "," 69,690 ",," 6,691 "," 8,062,881 "
20040210," 3,290,200 "," 4,766,100 "," 54,010 ",," 12,353 "," 8,122,663 "
20040211," 3,406,600 "," 4,590,600 "," 26,934 ",," 8,734 "," 8,032,868 "
20040212," 3,294,200 "," 4,638,900 "," 44,269 ",," 8,005 "," 7,985,374 "
20040213," 3,474,600 "," 4,431,700 "," 26,491 ",," 11,525 "," 7,944,316 "
20040214," 3,472,600 "," 4,120,700 "," 145,295 ",," 8,400 "," 7,746,995 "
20040215," 3,426,200 "," 3,995,700 "," 67,408 ",," 9,469 "," 7,498,777 "
20040216," 3,517,000 "," 4,353,400 "," 6,798 ",, - ," 7,877,198 "
20040217," 3,325,200 "," 4,423,700 "," 67,265 ",," 9,956 "," 7,826,121 "
20040218," 3,387,200 "," 4,376,600 "," 9,524 ",," 20,619 "," 7,793,943 "
20040219," 3,383,400 "," 4,183,300 "," 3,368 ",," 21,463 "," 7,591,531 "
20040220," 3,389,200 "," 4,001,700 "," 31,828 ",," 24,324 "," 7,447,052 "
20040221," 3,340,600 "," 3,723,200 "," 113,763 ",," 23,585 "," 7,201,148 "
20040222," 3,133,000 "," 3,780,600 "," 164,084 ",," 24,154 "," 7,101,838 "
20040223," 3,007,000 "," 4,621,300 "," 75,299 ",," 24,196 "," 7,727,795 "
20040224," 2,884,800 "," 4,787,100 "," 10,530 ",," 25,973 "," 7,708,403 "
20040225," 2,871,200 "," 4,717,700 "," 77,073 ",," 26,047 "," 7,692,020 "
20040226," 2,696,600 "," 4,967,900 "," 70,527 ",," 27,587 "," 7,762,614 "
20040227," 2,948,800 "," 4,798,800 "," 40,496 ",," 26,673 "," 7,814,769 "
20040228," 3,340,800 "," 4,228,100 "," 62,906 ",," 21,422 "," 7,653,228 "
20040229," 3,317,400 "," 3,732,800 "," 155,618 ",, - ," 7,205,818 "
20040301," 3,412,400 "," 3,879,200 "," 75,461 ",, - ," 7,367,061 "
20040302," 3,538,600 "," 4,135,300 "," 91,510 ",, - ," 7,765,410 "
20040303," 3,534,600 "," 4,270,300 "," 110,450 ",," 9,579 "," 7,924,929 "
20040304," 3,540,100 "," 4,319,800 "," 81,159 ",," 27,664 "," 7,968,723 "
20040305," 3,505,600 "," 4,138,000 "," 239,643 ",," 28,524 "," 7,911,767 "
20040306," 3,527,000 "," 4,088,200 "," 313,054 ",," 26,473 "," 7,954,727 "
20040307," 3,364,000 "," 3,986,200 "," 295,669 ",," 24,138 "," 7,670,007 "
20040308," 3,517,200 "," 4,338,300 "," 66,664 ",," 19,822 "," 7,941,986 "
20040309," 3,507,400 "," 4,187,600 "," 102,982 ",," 23,086 "," 7,821,068 "
20040310," 3,480,400 "," 3,818,500 "," 227,736 ",," 26,655 "," 7,553,291 "
20040311," 3,435,800 "," 3,901,500 "," 149,835 ",," 24,181 "," 7,511,316 "
20040312," 3,468,800 "," 3,954,700 "," 102,318 ",," 24,235 "," 7,550,053 "
20040313," 3,472,400 "," 4,009,600 "," 35,155 ",," 23,781 "," 7,540,936 "
20040314," 3,391,200 "," 3,769,800 "," 35,834 ",," 24,133 "," 7,220,967 "
20040315," 3,484,200 "," 4,013,500 "," 24,427 ",," 24,171 "," 7,546,298 "
20040316," 3,447,400 "," 3,784,400 "," 176,870 ",," 25,068 "," 7,433,738 "
20040317," 3,391,000 "," 3,741,900 "," 260,648 ",," 26,110 "," 7,419,658 "
20040318," 3,476,400 "," 3,918,500 "," 260,366 ",," 24,127 "," 7,679,393 "
20040319," 3,523,000 "," 4,072,300 "," 59,895 ",," 24,121 "," 7,679,316 "
20040320," 3,472,600 "," 3,927,000 "," 63,791 ",," 24,064 "," 7,487,455 "
20040321," 3,331,000 "," 3,762,200 "," 93,848 ",," 22,744 "," 7,209,792 "
20040322," 3,484,200 "," 3,968,100 "," 141,335 ",," 23,045 "," 7,616,680 "
20040323," 3,464,800 "," 4,091,900 "," 8,514 ",," 26,334 "," 7,591,548 "
20040324," 3,453,400 "," 4,046,200 "," 84,235 ",," 21,140 "," 7,604,975 "
20040325," 3,470,800 "," 4,019,300 "," 53,853 ",," 15,737 "," 7,559,690 "
20040326," 3,484,200 "," 4,063,700 "," 83,845 ",," 26,574 "," 7,658,319 "
20040327," 3,404,800 "," 3,970,600 "," 26,980 ",," 24,840 "," 7,427,220 "
20040328," 3,307,800 "," 3,813,600 "," 7,766 ",," 11,461 "," 7,140,627 "
20040329," 3,363,900 "," 3,870,800 "," 38,013 ",," 21,754 "," 7,294,467 "
20040330," 3,274,800 "," 3,840,900 "," 248,317 ",," 26,273 "," 7,390,290 "
20040331," 3,426,200 "," 3,941,800 "," 117,792 ",," 23,921 "," 7,509,713 "
20040401," 3,474,800 "," 3,903,400 "," 105,461 ",," 22,894 "," 7,506,555 "
20040402," 3,461,000 "," 3,949,600 "," 150,731 ",," 22,629 "," 7,583,960 "
20040403," 3,449,200 "," 3,905,100 "," 163,592 ",," 23,898 "," 7,541,790 "
20040404," 3,323,200 "," 3,797,400 "," 215,527 ",," 19,862 "," 7,355,989 "
20040405," 3,457,200 "," 3,943,000 "," 21,519 ",," 20,216 "," 7,441,935 "
20040406," 3,466,600 "," 3,898,100 "," 61,880 ",," 23,007 "," 7,449,587 "
20040407," 3,379,400 "," 3,760,000 "," 216,533 ",," 23,777 "," 7,379,710 "
20040408," 3,501,600 "," 3,919,000 "," 163,369 ",," 19,347 "," 7,603,316 "
20040409," 2,178,400 "," 5,380,500 "," 33,124 ",," 22,327 "," 7,614,351 "
20040410," 1,783,000 "," 5,582,300 "," 18,236 ",," 19,319 "," 7,402,855 "
20040411," 1,779,000 "," 5,119,100 "," 21,915 ",," 19,311 "," 6,939,326 "
20040412," 1,780,800 "," 5,457,700 "," 5,738 ",," 19,477 "," 7,263,715 "
20040413," 1,802,400 "," 5,298,000 "," 80,712 ",," 19,640 "," 7,200,752 "
20040414," 1,804,200 "," 5,517,900 "," 47,532 ",," 19,459 "," 7,389,091 "
20040415," 1,794,600 "," 5,193,200 "," 15,329 ",," 19,453 "," 7,022,582 "
20040416," 1,790,400 "," 5,584,300 "," 17,606 ",," 19,807 "," 7,412,113 "
20040417," 1,774,600 "," 5,534,100 "," 6,145 ",," 20,372 "," 7,335,217 "
20040418," 1,777,800 "," 5,003,800 "," 80,085 ",," 19,869 "," 6,881,554 "
20040419," 1,789,600 "," 5,115,300 "," 153,051 ",," 11,804 "," 7,069,755 "
20040420," 1,329,000 "," 5,840,700 "," 102,388 ",," 19,699 "," 7,291,787 "
20040421," 1,067,200 "," 6,161,700 "," 41,803 ",," 19,878 "," 7,290,581 "
20040422," 1,046,500 "," 6,011,500 "," 86,778 ",," 19,877 "," 7,164,655 "
20040423," 1,043,600 "," 5,758,000 "," 281,629 ",," 19,948 "," 7,103,177 "
20040424," 393,800 "," 6,634,800 "," 138,758 ",," 10,165 "," 7,177,523 "
20040425, - ," 6,909,300 "," 23,365 ",," 16,942 "," 6,949,607 "
20040426, - ," 6,915,200 "," 161,919 ",," 19,630 "," 7,096,749 "
20040427, - ," 6,998,700 "," 284,721 ",," 19,649 "," 7,303,070 "
20040428, - ," 7,361,100 "," 41,791 ",," 16,235 "," 7,419,126 "
20040429, - ," 7,218,200 "," 33,746 ",," 19,455 "," 7,271,401 "
20040430," 240,500 "," 6,738,300 "," 47,707 ",," 19,423 "," 7,045,930 "
20040501," 985,600 "," 5,644,700 "," 190,799 ",," 2,425 "," 6,823,524 "
20040502," 960,300 "," 5,552,100 "," 172,267 ",," 18,945 "," 6,703,612 "
20040503," 1,072,800 "," 5,842,800 "," 87,712 ",," 18,938 "," 7,022,250 "
20040504," 1,749,800 "," 5,200,800 "," 208,802 ",," 18,996 "," 7,178,398 "
20040505," 1,788,400 "," 5,139,000 "," 13,219 ",," 18,980 "," 6,959,599 "
20040506," 1,786,200 "," 5,338,500 "," 35,928 ",," 18,940 "," 7,179,568 "
20040507," 1,773,000 "," 5,297,400 "," 5,406 ",," 18,918 "," 7,094,724 "
20040508," 1,765,200 "," 4,991,700 "," 109,316 ",," 18,932 "," 6,885,148 "
20040509," 1,778,800 "," 4,742,000 "," 62,179 ",," 18,937 "," 6,601,916 "
20040510," 1,672,400 "," 5,151,200 "," 112,848 ",," 18,978 "," 6,955,426 "
20040511," 1,779,000 "," 5,300,400 "," 24,145 ",," 18,748 "," 7,122,293 "
20040512," 2,539,800 "," 4,353,600 "," 72,867 ",," 16,825 "," 6,983,092 "
20040513," 3,323,200 "," 3,542,900 "," 159,402 ",," 18,550 "," 7,044,052 "
20040514," 3,387,200 "," 3,688,000 "," 39,411 ",," 15,862 "," 7,130,473 "
20040515," 3,284,600 "," 3,515,800 "," 19,447 ",, - ," 6,819,847 "
20040516," 3,210,600 "," 3,399,400 "," 12,309 ",," 17,383 "," 6,639,692 "
20040517," 3,319,200 "," 3,516,700 "," 105,037 ",," 19,034 "," 6,959,971 "
20040518," 3,383,200 "," 3,639,300 "," 21,954 ",," 19,178 "," 7,063,632 "
20040519," 3,269,000 "," 3,508,100 "," 105,520 ",," 19,310 "," 6,901,930 "
20040520," 3,358,200 "," 3,556,600 "," 45,317 ",," 19,058 "," 6,979,175 "
20040521," 3,334,800 "," 3,525,400 "," 71,691 ",," 22,583 "," 6,954,474 "
20040522," 3,338,600 "," 3,586,800 "," 7,822 ",," 29,451 "," 6,962,673 "
20040523," 3,241,600 "," 3,416,900 "," 28,320 ",," 29,285 "," 6,716,105 "
20040524," 3,326,600 "," 3,572,700 "," 43,083 ",," 28,428 "," 6,970,811 "
20040525," 3,366,000 "," 3,614,100 "," 17,745 ",," 20,226 "," 7,018,071 "
20040526," 3,228,100 "," 3,356,800 "," 46,505 ",," 28,463 "," 6,659,868 "
20040527," 3,282,400 "," 3,494,200 "," 115,095 ",," 12,022 "," 6,903,717 "
20040528," 3,290,200 "," 3,579,700 "," 201,312 ",," 14,860 "," 7,086,072 "
20040529," 3,326,800 "," 3,655,900 "," 20,672 ",," 21,234 "," 7,024,606 "
20040530," 3,231,200 "," 3,359,500 "," 21,946 ",," 21,838 "," 6,634,484 "
20040531," 3,239,000 "," 3,402,400 "," 65,084 ",," 22,721 "," 6,729,205 "
20040601," 3,323,200 "," 3,594,900 "," 10,544 ",," 26,580 "," 6,955,224 "
20040602," 3,313,400 "," 3,503,200 "," 44,639 ",," 28,493 "," 6,889,732 "
20040603," 3,335,000 "," 3,649,100 "," 15,477 ",," 27,393 "," 7,026,970 "
20040604," 3,315,200 "," 3,697,400 "," 19,958 ",," 24,293 "," 7,056,851 "
20040605," 3,327,000 "," 3,699,400 "," 8,964 ",," 24,897 "," 7,060,261 "
20040606," 3,171,800 "," 3,456,500 "," 14,773 ",," 28,438 "," 6,671,511 "
20040607," 3,220,400 "," 3,574,400 "," 16,997 ",," 28,050 "," 6,839,847 "
20040608," 3,282,600 "," 3,558,700 "," 8,678 ",," 24,439 "," 6,874,417 "
20040609," 3,329,000 "," 3,566,200 "," 25,019 ",," 22,526 "," 6,942,745 "
20040610," 3,311,400 "," 3,672,300 "," 36,320 ",," 24,565 "," 7,044,585 "
20040611," 3,317,000 "," 3,730,100 "," 25,326 ",," 25,610 "," 7,098,036 "
20040612," 3,336,800 "," 3,645,600 "," 41,470 ",," 29,563 "," 7,053,433 "
20040613," 3,216,600 "," 3,452,800 "," 12,789 ",," 23,286 "," 6,705,475 "
20040614," 3,304,000 "," 3,750,700 "," 2,753 ",," 22,876 "," 7,080,329 "
20040615," 3,325,200 "," 3,821,400 "," 18,857 ",," 25,619 "," 7,191,076 "
20040616," 3,342,800 "," 3,694,900 "," 44,882 ",," 21,906 "," 7,104,488 "
20040617," 3,331,000 "," 3,739,900 "," 46,047 ",," 22,177 "," 7,139,124 "
20040618," 3,323,400 "," 3,957,200 "," 30,610 ",," 22,909 "," 7,334,119 "
20040619," 3,334,800 "," 3,725,900 "," 136,247 ",," 21,280 "," 7,218,227 "
20040620," 3,342,600 "," 3,519,200 "," 60,375 ",," 23,250 "," 6,945,425 "
20040621," 3,294,200 "," 3,568,200 "," 86,652 ",," 23,803 "," 6,972,855 "
20040622," 3,323,200 "," 3,871,600 "," 39,969 ",," 24,015 "," 7,258,784 "
20040623," 3,354,400 "," 4,012,300 "," 48,790 ",," 25,176 "," 7,440,666 "
20040624," 3,344,600 "," 3,925,300 "," 74,718 ",," 28,172 "," 7,372,790 "
20040625," 3,365,800 "," 3,894,200 "," 25,020 ",," 24,543 "," 7,309,563 "
20040626," 3,383,200 "," 3,758,100 "," 6,627 ",," 21,644 "," 7,169,571 "
20040627," 3,303,800 "," 3,603,000 "," 1,862 ",," 20,223 "," 6,928,885 "
20040628," 3,239,800 "," 3,885,900 "," 3,200 ",," 21,390 "," 7,150,290 "
20040629," 2,871,200 "," 4,364,400 "," 3,314 ",," 22,202 "," 7,261,116 "
20040630," 3,336,800 "," 4,059,600 "," 4,888 ",," 27,082 "," 7,428,370 "
20040701," 3,343,000 "," 4,186,900 "," 33,561 ",," 25,151 "," 7,588,612 "
20040702," 3,360,200 "," 4,583,100 "," 43,665 ",," 21,642 "," 8,008,607 "
20040703," 3,410,000 "," 4,537,600 "," 76,100 ",," 21,714 "," 8,045,414 "
20040704," 2,388,600 "," 4,504,000 "," 208,752 ",," 20,771 "," 7,122,123 "
20040705," 2,266,000 "," 5,169,200 "," 81,017 ",," 21,810 "," 7,538,027 "
20040706," 3,317,800 "," 4,276,400 "," 94,714 ",," 24,716 "," 7,713,630 "
20040707," 3,360,000 "," 4,278,300 "," 129,246 ",," 16,635 "," 7,784,181 "
20040708," 3,377,000 "," 4,075,500 "," 15,304 ",," 25,924 "," 7,493,728 "
20040709," 3,381,200 "," 4,203,700 "," 6,709 ",," 21,501 "," 7,613,110 "
20040710," 3,354,200 "," 4,099,800 "," 2,497 ",," 25,885 "," 7,482,382 "
20040711," 3,344,600 "," 3,840,000 "," 21,280 ",," 28,653 "," 7,234,533 "
20040712," 3,367,600 "," 4,689,400 "," 28,627 ",," 23,193 "," 8,108,820 "
20040713," 3,385,200 "," 4,868,800 "," 46,348 ",," 23,285 "," 8,323,633 "
20040714," 3,404,800 "," 4,865,000 "," 96,174 ",," 25,199 "," 8,391,173 "
20040715," 3,402,800 "," 4,917,500 "," 71,869 ",," 20,424 "," 8,412,593 "
20040716," 3,383,400 "," 5,058,900 "," 116,564 ",," 25,204 "," 8,584,068 "
20040717," 3,350,400 "," 4,716,900 "," 143,894 ",," 23,188 "," 8,234,382 "
20040718," 3,385,200 "," 4,505,600 "," 151,491 ",," 23,757 "," 8,066,048 "
20040719," 3,369,600 "," 5,261,000 "," 125,905 ",," 24,958 "," 8,781,463 "
20040720," 3,392,800 "," 5,403,700 "," 93,641 ",," 22,650 "," 8,912,791 "
20040721," 3,381,400 "," 5,549,400 "," 34,233 ",," 23,526 "," 8,988,559 "
20040722," 3,387,200 "," 5,389,800 "," 68,591 ",," 22,703 "," 8,868,294 "
20040723," 3,416,400 "," 5,424,100 "," 27,167 ",," 27,207 "," 8,894,874 "
20040724," 3,437,600 "," 5,270,800 "," 9,765 ",," 23,291 "," 8,741,456 "
20040725," 3,445,600 "," 4,899,600 "," 16,607 ",," 23,721 "," 8,385,528 "
20040726," 3,433,600 "," 5,539,600 "," 22,438 ",," 18,962 "," 9,014,600 "
20040727," 3,451,200 "," 5,631,500 "," 39,015 ",," 18,855 "," 9,140,570 "
20040728," 2,974,000 "," 6,162,500 "," 10,642 ",," 6,369 "," 9,153,511 "
20040729," 3,418,400 "," 5,763,300 "," 1,485 ",," 14,241 "," 9,197,426 "
20040730," 3,480,800 "," 5,671,900 "," 5,345 ",," 16,379 "," 9,174,424 "
20040731," 3,424,600 "," 5,451,000 "," 45,403 ",," 26,977 "," 8,947,980 "
20040801," 3,493,800 "," 5,024,900 "," 47,148 ",," 28,440 "," 8,594,288 "
20040802," 3,474,600 "," 5,736,000 "," 13,025 ",," 26,370 "," 9,249,995 "
20040803," 3,474,400 "," 5,793,100 "," 3,952 ",," 28,346 "," 9,299,798 "
20040804," 3,459,200 "," 5,697,700 "," 14,748 ",," 28,325 "," 9,199,973 "
20040805," 3,464,200 "," 5,473,700 "," 11,997 ",," 27,586 "," 8,977,483 "
20040806," 3,451,200 "," 5,634,800 "," 25,744 ",," 27,953 "," 9,139,697 "
20040807," 3,474,600 "," 5,618,700 "," 2,345 ",," 26,980 "," 9,122,625 "
20040808," 3,476,400 "," 5,244,200 "," 4,404 ",," 29,613 "," 8,754,617 "
20040809," 3,389,400 "," 5,651,600 "," 33,760 ",," 28,455 "," 9,103,215 "
20040810," 3,433,800 "," 5,676,000 "," 41,661 ",," 29,117 "," 9,180,578 "
20040811," 3,474,400 "," 5,496,000 "," 101,445 ",," 21,557 "," 9,093,402 "
20040812," 3,459,800 "," 5,640,900 "," 79,700 ",," 16,654 "," 9,197,054 "
20040813," 3,505,600 "," 5,768,900 "," 45,595 ",," 17,685 "," 9,337,780 "
20040814," 3,488,200 "," 5,597,700 "," 37,643 ",," 19,621 "," 9,143,164 "
20040815," 3,480,300 "," 4,877,200 "," 49,797 ",," 14,107 "," 8,421,404 "
20040816," 3,449,400 "," 5,538,400 "," 41,440 ",," 15,056 "," 9,044,296 "
20040817," 3,470,400 "," 5,558,400 "," 48,290 ",," 10,030 "," 9,087,120 "
20040818," 3,026,400 "," 5,408,900 "," 155,588 ",," 14,776 "," 8,605,664 "
20040819," 2,984,800 "," 4,941,100 "," 199,102 ",," 19,328 "," 8,144,330 "
20040820," 3,346,400 "," 4,782,600 "," 3,666 ",," 19,116 "," 8,151,782 "
20040821," 3,377,400 "," 4,627,800 "," 8,742 ",," 18,679 "," 8,032,621 "
20040822," 3,314,000 "," 4,015,700 "," 19,989 ",," 17,168 "," 7,366,857 "
20040823," 3,350,400 "," 4,589,000 "," 13,275 ",," 15,277 "," 7,967,952 "
20040824," 3,379,400 "," 4,541,900 "," 80,488 ",," 19,124 "," 8,020,912 "
20040825," 3,404,200 "," 4,845,200 "," 32,084 ",," 16,943 "," 8,298,427 "
20040826," 3,416,400 "," 4,688,600 "," 25,688 ",," 18,182 "," 8,148,870 "
20040827," 3,385,200 "," 4,517,400 "," 77,843 ",," 18,827 "," 7,999,270 "
20040828," 3,359,400 "," 4,039,100 "," 136,238 ",," 17,411 "," 7,552,149 "
20040829," 3,325,000 "," 3,821,000 "," 123,288 ",," 19,202 "," 7,288,490 "
20040830," 3,327,200 "," 4,152,900 "," 198,671 ",," 19,789 "," 7,698,560 "
20040831," 3,327,000 "," 4,272,200 "," 66,114 ",," 20,353 "," 7,685,667 "
20040901," 3,361,200 "," 4,143,100 "," 28,615 ",," 20,450 "," 7,553,365 "
20040902," 3,344,600 "," 4,299,600 "," 9,650 ",," 20,075 "," 7,673,925 "
20040903," 3,348,400 "," 4,352,000 "," 9,384 ",," 19,199 "," 7,728,983 "
20040904," 3,364,000 "," 4,136,900 "," 44,767 ",," 23,879 "," 7,569,546 "
20040905," 3,355,400 "," 3,757,900 "," 166,786 ",," 23,050 "," 7,303,136 "
20040906," 3,332,200 "," 3,920,200 "," 268,470 ",," 27,118 "," 7,547,988 "
20040907," 3,329,400 "," 3,778,900 "," 239,977 ",," 15,043 "," 7,363,320 "
20040908," 3,261,200 "," 3,954,600 "," 93,422 ",," 20,128 "," 7,329,350 "
20040909," 3,342,600 "," 3,921,000 "," 7,530 ",," 13,054 "," 7,284,184 "
20040910," 3,299,800 "," 3,649,300 "," 166,851 ",," 24,612 "," 7,140,563 "
20040911," 3,263,200 "," 3,741,800 "," 233,934 ",," 20,060 "," 7,258,994 "
20040912," 3,210,400 "," 3,516,100 "," 170,258 ",," 17,118 "," 6,913,876 "
20040913," 3,327,000 "," 4,163,300 "," 7,309 ",," 17,043 "," 7,514,652 "
20040914," 3,363,800 "," 4,367,900 "," 52,380 ",," 16,706 "," 7,800,786 "
20040915," 3,376,000 "," 4,455,900 "," 52,798 ",," 18,147 "," 7,902,845 "
20040916," 3,385,200 "," 4,368,400 "," 24,780 ",," 17,536 "," 7,795,916 "
20040917," 3,367,800 "," 4,382,100 "," 8,141 ",," 19,818 "," 7,777,859 "
20040918," 3,374,200 "," 4,150,100 "," 28,044 ",," 15,970 "," 7,568,314 "
20040919," 3,315,200 "," 3,744,100 "," 12,345 ",," 18,351 "," 7,089,996 "
20040920," 3,305,800 "," 4,096,200 "," 34,337 ",," 18,932 "," 7,455,269 "
20040921," 3,298,000 "," 3,774,800 "," 80,026 ",," 24,592 "," 7,177,418 "
20040922," 3,317,400 "," 3,822,700 "," 17,705 ",," 29,983 "," 7,187,788 "
20040923," 3,290,200 "," 3,867,900 "," 24,272 ",," 25,249 "," 7,207,621 "
20040924," 3,332,800 "," 3,888,800 "," 68,289 ",," 28,507 "," 7,318,396 "
20040925," 3,321,400 "," 3,630,300 "," 195,364 ",," 27,839 "," 7,174,903 "
20040926," 3,274,400 "," 3,532,400 "," 152,885 ",," 28,820 "," 6,988,505 "
20040927," 3,315,400 "," 3,583,200 "," 57,549 ",," 28,814 "," 6,984,963 "
20040928," 3,002,400 "," 3,107,300 "," 169,305 ",," 28,808 "," 6,307,813 "
20040929," 3,118,600 "," 3,311,000 "," 85,182 ",," 28,813 "," 6,543,595 "
20040930," 3,272,400 "," 3,691,500 "," 17,767 ",," 28,818 "," 7,010,485 "
20041001," 3,280,400 "," 3,834,100 "," 69,119 ",," 28,837 "," 7,212,456 "
20041002," 3,245,600 "," 3,488,700 "," 197,302 ",," 28,957 "," 6,960,559 "
20041003," 3,175,600 "," 3,486,000 "," 106,855 ",," 28,964 "," 6,797,419 "
20041004," 3,321,800 "," 3,710,400 "," 121,420 ",," 23,431 "," 7,177,051 "
20041005," 3,338,800 "," 3,815,400 "," 66,319 ",," 25,339 "," 7,245,858 "
20041006," 3,368,000 "," 3,882,400 "," 17,851 ",," 29,174 "," 7,297,425 "
20041007," 3,385,800 "," 3,819,800 "," 34,859 ",," 13,371 "," 7,253,830 "
20041008," 3,376,800 "," 3,869,700 "," 34,838 ",," 23,819 "," 7,305,157 "
20041009," 3,360,200 "," 3,851,000 "," 42,348 ",," 29,098 "," 7,282,646 "
20041010," 3,282,600 "," 3,671,400 "," 10,988 ",," 29,123 "," 6,994,111 "
20041011," 3,334,000 "," 3,946,300 "," 6,617 ",," 28,922 "," 7,315,839 "
20041012," 3,354,000 "," 3,798,300 "," 119,666 ",," 27,644 "," 7,299,610 "
20041013," 3,311,600 "," 3,860,100 "," 129,009 ",," 22,980 "," 7,323,689 "
20041014," 3,352,400 "," 3,760,000 "," 183,855 ",," 17,502 "," 7,313,757 "
20041015," 3,392,800 "," 3,852,500 "," 99,202 ",," 4,051 "," 7,348,553 "
20041016," 3,393,200 "," 3,796,700 "," 111,086 ",, - ," 7,300,986 "
20041017," 3,290,200 "," 3,484,500 "," 220,066 ",, - ," 6,994,766 "
20041018," 3,362,000 "," 3,910,100 "," 80,188 ",, - ," 7,352,288 "
20041019," 3,369,700 "," 3,766,000 "," 192,829 ",, - ," 7,328,529 "
20041020," 3,360,200 "," 3,730,700 "," 171,746 ",, - ," 7,262,646 "
20041021," 3,366,000 "," 3,818,700 "," 58,726 ",, - ," 7,243,426 "
20041022," 3,364,000 "," 3,733,500 "," 154,448 ",," 10,642 "," 7,262,590 "
20041023," 3,385,400 "," 3,733,200 "," 63,157 ",," 18,165 "," 7,199,922 "
20041024," 3,297,600 "," 3,643,100 "," 60,474 ",," 18,082 "," 7,019,256 "
20041025," 3,373,500 "," 3,840,800 "," 54,955 ",," 18,594 "," 7,287,849 "
20041026," 3,358,200 "," 3,689,300 "," 184,783 ",," 17,208 "," 7,249,491 "
20041027," 3,383,400 "," 3,815,400 "," 50,727 ",," 14,166 "," 7,263,693 "
20041028," 3,412,600 "," 3,851,100 "," 20,698 ",," 20,499 "," 7,304,897 "
20041029," 3,406,600 "," 3,819,300 "," 47,055 ",," 21,645 "," 7,294,600 "
20041030," 3,369,800 "," 3,764,500 "," 84,026 ",," 18,573 "," 7,236,899 "
20041031," 3,286,400 "," 3,612,400 "," 68,012 ",," 20,740 "," 6,987,552 "
